trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-277.8679827096793,"{0: 7, 1: 0, 2: 7, 3: 1, 4: 5}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-295.17375882493235,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 6}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-44.02467966912189,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,16,-27.047372042706062,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-92.4938737075777,"{0: 18, 1: 1, 2: 3, 3: 2, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-94.87873664804688,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-150.09072320952146,"{0: 13, 1: 1, 2: 2, 3: 1, 4: 3}",0
8,False,"{'a': 0.5, 'e': 1.0}",35,16,-128.47379372096086,"{0: 8, 1: 4, 2: 4, 3: 2, 4: 1}",1
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-63.71705710211639,"{0: 14, 1: 1, 2: 3, 3: 2, 4: 0}",0
10,False,"{'a': 0.5, 'e': 1.0}",30,0,-64.14818933938957,"{0: 19, 1: 4, 2: 7, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-111.03713100770686,"{0: 14, 1: 1, 2: 9, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-80.85614632923672,"{0: 18, 1: 0, 2: 6, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-27.891820781051578,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-213.77829065608245,"{0: 9, 1: 1, 2: 4, 3: 3, 4: 3}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-171.96300575599628,"{0: 14, 1: 2, 2: 6, 3: 0, 4: 3}",0
16,False,"{'a': 0.5, 'e': 1.0}",35,0,-121.32231635165681,"{0: 23, 1: 3, 2: 7, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-144.5852126400509,"{0: 10, 1: 1, 2: 7, 3: 0, 4: 2}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-181.38139965185087,"{0: 8, 1: 2, 2: 6, 3: 2, 4: 2}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-32.68854550567251,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-68.28552250860808,"{0: 12, 1: 0, 2: 7, 3: 1, 4: 0}",0
21,False,"{'a': 0.5, 'e': 1.0}",20,0,-66.77278583813481,"{0: 11, 1: 4, 2: 4, 3: 1, 4: 0}",0
22,False,"{'a': 0.5, 'e': 1.0}",30,0,-237.19439827517644,"{0: 17, 1: 0, 2: 8, 3: 1, 4: 4}",0
23,False,"{'a': 0.5, 'e': 1.0}",20,0,-80.64377096537345,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
24,False,"{'a': 0.5, 'e': 1.0}",20,0,-54.982488398806105,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
25,False,"{'a': 0.5, 'e': 1.0}",25,0,-180.61903240113068,"{0: 14, 1: 3, 2: 2, 3: 4, 4: 2}",0
26,False,"{'a': 0.5, 'e': 1.0}",25,0,-123.95847820773915,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
27,False,"{'a': 0.5, 'e': 1.0}",20,0,-31.49711816561098,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
28,False,"{'a': 0.5, 'e': 1.0}",20,0,-220.91939030658372,"{0: 7, 1: 2, 2: 6, 3: 2, 4: 3}",0
29,False,"{'a': 0.5, 'e': 1.0}",20,0,-152.50682727411453,"{0: 12, 1: 3, 2: 1, 3: 1, 4: 3}",0
30,False,"{'a': 0.5, 'e': 1.0}",30,0,-138.53481057384334,"{0: 17, 1: 4, 2: 6, 3: 2, 4: 1}",0
31,False,"{'a': 0.5, 'e': 1.0}",25,0,-264.0658541336555,"{0: 12, 1: 1, 2: 7, 3: 0, 4: 5}",0
32,False,"{'a': 0.5, 'e': 1.0}",20,0,-109.33324604896359,"{0: 12, 1: 2, 2: 3, 3: 2, 4: 1}",0
33,False,"{'a': 0.5, 'e': 1.0}",20,0,-143.3333708478549,"{0: 10, 1: 0, 2: 7, 3: 2, 4: 1}",0
34,False,"{'a': 0.5, 'e': 1.0}",30,0,-70.12666515581658,"{0: 26, 1: 1, 2: 1, 3: 0, 4: 2}",0
35,False,"{'a': 0.5, 'e': 1.0}",20,0,-158.4910121921351,"{0: 10, 1: 2, 2: 4, 3: 2, 4: 2}",0
36,False,"{'a': 0.5, 'e': 1.0}",20,0,-159.86794687590677,"{0: 9, 1: 1, 2: 7, 3: 1, 4: 2}",0
37,False,"{'a': 0.5, 'e': 1.0}",20,0,-198.62380045247912,"{0: 9, 1: 2, 2: 4, 3: 2, 4: 3}",0
38,False,"{'a': 0.5, 'e': 1.0}",20,0,-171.27881393160388,"{0: 11, 1: 1, 2: 4, 3: 1, 4: 3}",0
39,False,"{'a': 0.5, 'e': 1.0}",25,0,-162.00489995416686,"{0: 15, 1: 1, 2: 5, 3: 2, 4: 2}",0
40,False,"{'a': 0.5, 'e': 1.0}",20,0,-233.62703758865626,"{0: 10, 1: 1, 2: 4, 3: 0, 4: 5}",0
41,False,"{'a': 0.5, 'e': 1.0}",30,0,-222.38887315851326,"{0: 16, 1: 3, 2: 6, 3: 2, 4: 3}",0
42,False,"{'a': 0.5, 'e': 1.0}",25,0,-102.5836059899935,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
43,False,"{'a': 0.5, 'e': 1.0}",20,0,-162.10984244242715,"{0: 11, 1: 1, 2: 5, 3: 0, 4: 3}",0
44,False,"{'a': 0.5, 'e': 1.0}",25,0,-129.25542988640962,"{0: 11, 1: 3, 2: 9, 3: 2, 4: 0}",0
45,False,"{'a': 0.5, 'e': 1.0}",20,0,-161.3123241019116,"{0: 11, 1: 3, 2: 2, 3: 1, 4: 3}",0
46,False,"{'a': 0.5, 'e': 1.0}",25,0,-216.71957224355978,"{0: 10, 1: 3, 2: 9, 3: 0, 4: 3}",0
47,False,"{'a': 0.5, 'e': 1.0}",20,0,-126.35882332363053,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
48,False,"{'a': 0.5, 'e': 1.0}",20,0,-119.41966766534827,"{0: 10, 1: 2, 2: 6, 3: 1, 4: 1}",0
49,False,"{'a': 0.5, 'e': 1.0}",20,0,-133.49546730750143,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 3}",0
50,False,"{'a': 0.5, 'e': 1.0}",20,0,-87.24872163582309,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
51,False,"{'a': 0.5, 'e': 1.0}",30,16,-39.75706909637987,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 1}",1
52,False,"{'a': 0.5, 'e': 1.0}",20,0,-106.36653392359217,"{0: 9, 1: 0, 2: 10, 3: 1, 4: 0}",0
53,False,"{'a': 0.5, 'e': 1.0}",25,0,-38.04265256104294,"{0: 18, 1: 1, 2: 6, 3: 0, 4: 0}",0
54,False,"{'a': 0.5, 'e': 1.0}",30,0,-181.5170634803527,"{0: 18, 1: 4, 2: 4, 3: 1, 4: 3}",0
55,False,"{'a': 0.5, 'e': 1.0}",20,0,-136.28817681800902,"{0: 8, 1: 3, 2: 7, 3: 1, 4: 1}",0
56,False,"{'a': 0.5, 'e': 1.0}",30,1,-154.20065309125755,"{0: 18, 1: 0, 2: 8, 3: 1, 4: 2}",1
57,False,"{'a': 0.5, 'e': 1.0}",25,0,-183.0424170515687,"{0: 13, 1: 3, 2: 6, 3: 0, 4: 3}",0
