trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.4, 'e': 0.6703200460356393}",20,0,-81.33448957547512,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
2,False,"{'a': 0.4, 'e': 0.44932896411722156}",20,0,-102.53637234419077,"{0: 14, 1: 2, 2: 1, 3: 1, 4: 2}",0
3,False,"{'a': 0.4, 'e': 0.3011942119122021}",20,0,-105.6045937825068,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
4,False,"{'a': 0.4, 'e': 0.2018965179946554}",25,0,-73.10133828698741,"{0: 17, 1: 4, 2: 3, 3: 0, 4: 1}",0
5,False,"{'a': 0.4, 'e': 0.1353352832366127}",30,0,-158.55371218918395,"{0: 22, 1: 3, 2: 1, 3: 0, 4: 4}",0
6,False,"{'a': 0.4, 'e': 0.09071795328941248}",20,0,-32.79224960501247,"{0: 17, 1: 2, 2: 0, 3: 0, 4: 1}",0
7,False,"{'a': 0.4, 'e': 0.06081006262521796}",25,0,-26.29652805289142,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
8,False,"{'a': 0.4, 'e': 0.04076220397836622}",30,0,-89.62605489662674,"{0: 24, 1: 1, 2: 2, 3: 1, 4: 2}",0
9,False,"{'a': 0.4, 'e': 0.027323722447292562}",35,0,-133.17788717276338,"{0: 27, 1: 0, 2: 3, 3: 3, 4: 2}",0
10,False,"{'a': 0.4, 'e': 0.018315638888734186}",30,0,-147.16018050708806,"{0: 22, 1: 1, 2: 3, 3: 1, 4: 3}",0
11,False,"{'a': 0.4, 'e': 0.01227733990306844}",25,0,-109.85342328467448,"{0: 20, 1: 0, 2: 1, 3: 2, 4: 2}",0
12,False,"{'a': 0.4, 'e': 0.008229747049020025}",20,0,3.776857075890768,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
13,False,"{'a': 0.4, 'e': 0.005516564420760773}",25,0,-107.72211799165555,"{0: 19, 1: 0, 2: 3, 3: 1, 4: 2}",0
14,False,"{'a': 0.4, 'e': 0.00369786371648293}",25,0,-19.623728024013467,"{0: 21, 1: 1, 2: 2, 3: 1, 4: 0}",0
15,False,"{'a': 0.4, 'e': 0.0024787521766663594}",25,0,29.26814420443857,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
16,False,"{'a': 0.4, 'e': 0.0016615572731739346}",20,0,-13.639183842897637,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
