trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-114.86442802488745,"{0: 11, 1: 5, 2: 2, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-119.32123943131377,"{0: 16, 1: 1, 2: 6, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1.0}",30,0,-78.67165185585375,"{0: 19, 1: 4, 2: 7, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-149.54423163041395,"{0: 14, 1: 3, 2: 5, 3: 1, 4: 2}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,10,-46.25096504107682,"{0: 4, 1: 2, 2: 4, 3: 0, 4: 0}",1
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-80.98118493995135,"{0: 16, 1: 4, 2: 4, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",30,0,-209.24508446117554,"{0: 18, 1: 2, 2: 6, 3: 0, 4: 4}",0
8,False,"{'a': 0.5, 'e': 1.0}",30,0,-85.6662015334976,"{0: 22, 1: 3, 2: 3, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",30,0,-145.2199123394925,"{0: 20, 1: 3, 2: 4, 3: 0, 4: 3}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-57.151763575093824,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",30,0,-156.04521514345362,"{0: 20, 1: 2, 2: 4, 3: 2, 4: 2}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-78.94985284032873,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-133.29770339260193,"{0: 13, 1: 3, 2: 7, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-41.529936716643675,"{0: 17, 1: 3, 2: 5, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-147.00974500849804,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 3}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-293.70443180682156,"{0: 9, 1: 6, 2: 3, 3: 2, 4: 5}",0
17,False,"{'a': 0.5, 'e': 1.0}",30,0,-46.15555540979346,"{0: 23, 1: 0, 2: 6, 3: 1, 4: 0}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-58.241976437069965,"{0: 11, 1: 6, 2: 2, 3: 1, 4: 0}",0
19,False,"{'a': 0.5, 'e': 1.0}",35,0,-182.77218106200849,"{0: 17, 1: 8, 2: 8, 3: 0, 4: 2}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-146.90099270363172,"{0: 9, 1: 3, 2: 6, 3: 0, 4: 2}",0
1,True,"{'a': 0.5, 'e': 1.0}",30,0,-84.11683801928514,"{0: 23, 1: 1, 2: 3, 3: 2, 4: 1}",0
